CustomerID,Recency,Frequency,Monetary,R,F,M,RFMGroup,RFMScore,RFM_Loyalty_Level
12919.0,8,50,1335.19,1,2,2,122,5,Platinum
12920.0,17,28,164.23000000000002,1,3,4,134,8,Gold
12921.0,9,720,16587.09,1,1,1,111,3,Platinum
12922.0,161,28,405.38,4,3,3,433,10,Silver
12923.0,64,29,176.97,3,3,4,334,10,Silver
12924.0,88,30,933.7000000000002,3,3,2,332,8,Gold
12925.0,4,45,694.05,1,2,2,122,5,Platinum
12928.0,35,84,2062.7,2,2,1,221,5,Platinum
12929.0,311,8,117.85,4,4,4,444,12,Bronze
12930.0,78,25,415.8,3,3,3,333,9,Silver
12931.0,21,82,42055.96,2,2,1,221,5,Platinum
12933.0,24,106,607.53,2,1,3,213,6,Gold
12935.0,2,129,2160.7,1,1,1,111,3,Platinum
12936.0,17,62,1063.8999999999999,1,2,2,122,5,Platinum
12937.0,15,120,1504.2700000000002,1,1,2,112,4,Platinum
12938.0,25,9,114.13999999999999,2,4,4,244,10,Silver
12939.0,64,47,11581.800000000001,3,2,1,321,6,Gold
12940.0,54,99,913.54,3,2,2,322,7,Gold
12942.0,131,75,683.9000000000001,3,2,2,322,7,Gold
12944.0,35,30,604.5099999999999,2,3,3,233,8,Gold
12945.0,288,23,462.95000000000005,4,3,3,433,10,Silver
12947.0,143,97,1603.99,4,2,1,421,7,Gold
12948.0,16,116,2064.95,1,1,1,111,3,Platinum
12949.0,30,215,4167.22,2,1,1,211,4,Platinum
12950.0,2,23,1843.0,1,3,1,131,5,Platinum
12951.0,8,63,1064.07,1,2,2,122,5,Platinum
12952.0,5,79,1387.79,1,2,2,122,5,Platinum
12953.0,9,17,329.85,1,4,3,143,8,Gold
12955.0,1,180,4757.160000000001,1,1,1,111,3,Platinum
12956.0,306,19,108.07,4,3,4,434,11,Bronze
12957.0,9,238,4017.54,1,1,1,111,3,Platinum
12962.0,7,16,266.39,1,4,4,144,9,Silver
12963.0,8,95,1856.63,1,2,1,121,4,Platinum
12965.0,89,109,771.91,3,1,2,312,6,Gold
12966.0,9,10,160.18,1,4,4,144,9,Silver
12967.0,358,19,1660.9,4,3,1,431,8,Gold
12968.0,112,5,135.95,3,4,4,344,11,Bronze
12970.0,7,151,452.24000000000007,1,1,3,113,5,Platinum
12971.0,3,305,11189.91,1,1,1,111,3,Platinum
12974.0,197,8,144.8,4,4,4,444,12,Bronze
12976.0,211,22,738.6,4,3,2,432,9,Silver
12977.0,156,9,39.24,4,4,4,444,12,Bronze
12980.0,157,20,7374.9,4,3,1,431,8,Gold
12981.0,29,20,372.2199999999999,2,3,3,233,8,Gold
12982.0,242,28,390.53999999999996,4,3,3,433,10,Silver
12984.0,18,4,97.5,2,4,4,244,10,Silver
12985.0,0,76,1239.3799999999999,1,2,2,122,5,Platinum
12987.0,73,28,558.7,3,3,3,333,9,Silver
12988.0,292,92,535.3200000000002,4,2,3,423,9,Silver
12989.0,3,64,6924.110000000001,1,2,1,121,4,Platinum
12990.0,31,13,409.5000000000001,2,4,3,243,9,Silver
12991.0,23,31,503.76000000000005,2,3,3,233,8,Gold
12993.0,23,27,414.75999999999993,2,3,3,233,8,Gold
12994.0,4,61,974.42,1,2,2,122,5,Platinum
12995.0,85,3,211.32,3,4,4,344,11,Bronze
12997.0,22,59,1226.89,2,2,2,222,6,Gold
12999.0,196,28,455.88,4,3,3,433,10,Silver
13000.0,106,31,534.8500000000001,3,3,3,333,9,Silver
13001.0,4,339,9818.82,1,1,1,111,3,Platinum
13002.0,318,7,120.94999999999999,4,4,4,444,12,Bronze
13003.0,105,6,149.05,3,4,4,344,11,Bronze
13004.0,11,404,5655.91,1,1,1,111,3,Platinum
13005.0,173,26,513.6999999999999,4,3,3,433,10,Silver
13006.0,56,4,81.57,3,4,4,344,11,Bronze
13008.0,323,14,229.47000000000003,4,4,4,444,12,Bronze
13011.0,372,3,50.550000000000004,4,4,4,444,12,Bronze
13012.0,9,89,1661.8400000000001,1,2,1,121,4,Platinum
13013.0,1,219,4810.94,1,1,1,111,3,Platinum
13014.0,10,110,3466.2799999999997,1,1,1,111,3,Platinum
13015.0,53,176,3346.2799999999997,3,1,1,311,5,Platinum
13016.0,73,47,789.8899999999999,3,2,2,322,7,Gold
13017.0,7,1,204.0,1,4,4,144,9,Silver
13018.0,16,458,7277.700000000001,1,1,1,111,3,Platinum
13021.0,4,131,2616.38,1,1,1,111,3,Platinum
13023.0,64,40,689.9000000000001,3,3,2,332,8,Gold
13026.0,1,40,975.36,1,3,2,132,6,Gold
13027.0,113,26,6912.0,3,3,1,331,7,Gold
13028.0,22,45,661.3200000000002,2,2,2,222,6,Gold
13029.0,30,10,1247.5,2,4,2,242,8,Gold
13030.0,11,99,799.4800000000001,1,2,2,122,5,Platinum
13032.0,52,71,1010.1800000000002,3,2,2,322,7,Gold
13033.0,357,11,190.54999999999998,4,4,4,444,12,Bronze
13034.0,54,37,642.7700000000001,3,3,3,333,9,Silver
13035.0,73,27,921.88,3,3,2,332,8,Gold
13037.0,138,48,881.07,3,2,2,322,7,Gold
13038.0,80,28,908.46,3,3,2,332,8,Gold
13040.0,8,43,676.99,1,2,2,122,5,Platinum
13043.0,273,13,516.4200000000001,4,4,3,443,11,Bronze
13044.0,291,33,560.47,4,3,3,433,10,Silver
13045.0,99,18,305.28,3,3,3,333,9,Silver
13046.0,30,35,629.31,2,3,3,233,8,Gold
13047.0,31,172,3237.54,2,1,1,211,4,Platinum
13048.0,14,136,1835.9099999999999,1,1,1,111,3,Platinum
13049.0,64,14,656.6800000000002,3,4,2,342,9,Silver
13050.0,14,403,5836.860000000001,1,1,1,111,3,Platinum
13052.0,212,18,348.15000000000003,4,3,3,433,10,Silver
13055.0,78,76,1214.41,3,2,2,322,7,Gold
13058.0,24,8,271.4,2,4,4,244,10,Silver
13059.0,249,8,183.4,4,4,4,444,12,Bronze
13060.0,253,15,307.53000000000003,4,4,3,443,11,Bronze
13061.0,72,10,248.61,3,4,4,344,11,Bronze
13062.0,191,11,346.98,4,4,3,443,11,Bronze
13064.0,12,69,1119.4900000000002,1,2,2,122,5,Platinum
13065.0,373,14,205.85999999999999,4,4,4,444,12,Bronze
13066.0,24,48,470.79999999999995,2,2,3,223,7,Gold
13067.0,82,15,115.46000000000001,3,4,4,344,11,Bronze
13068.0,10,2,344.0,1,4,3,143,8,Gold
13069.0,0,425,4436.12,1,1,1,111,3,Platinum
13070.0,192,9,228.8,4,4,4,444,12,Bronze
13072.0,266,7,177.14999999999998,4,4,4,444,12,Bronze
13075.0,129,22,919.6100000000001,3,3,2,332,8,Gold
13077.0,1,112,729.2700000000001,1,1,2,112,4,Platinum
13078.0,3,358,12627.939999999999,1,1,1,111,3,Platinum
13079.0,4,6,220.09999999999997,1,4,4,144,9,Silver
13080.0,179,6,58.08,4,4,4,444,12,Bronze
13081.0,11,1028,28337.379999999997,1,1,1,111,3,Platinum
13082.0,126,73,3613.6299999999997,3,2,1,321,6,Gold
13083.0,4,18,303.75,1,3,3,133,7,Gold
13085.0,157,22,416.08000000000004,4,3,3,433,10,Silver
13089.0,2,1818,58825.83,1,1,1,111,3,Platinum
13090.0,8,155,8910.819999999998,1,1,1,111,3,Platinum
13091.0,28,21,345.82000000000005,2,3,3,233,8,Gold
13092.0,70,25,477.83000000000004,3,3,3,333,9,Silver
13093.0,275,159,7832.470000000001,4,1,1,411,6,Gold
13094.0,21,24,1927.3200000000002,2,3,1,231,6,Gold
13095.0,70,6,74.4,3,4,4,344,11,Bronze
13097.0,32,423,6010.419999999999,2,1,1,211,4,Platinum
13098.0,1,572,28882.44,1,1,1,111,3,Platinum
13099.0,99,1,207.35999999999999,3,4,4,344,11,Bronze
13101.0,234,8,101.19,4,4,4,444,12,Bronze
13102.0,1,304,6424.089999999999,1,1,1,111,3,Platinum
13103.0,39,8,243.94,2,4,4,244,10,Silver
13104.0,3,20,1098.48,1,3,2,132,6,Gold
13106.0,133,1,76.5,3,4,4,344,11,Bronze
13107.0,44,58,1531.6200000000003,2,2,2,222,6,Gold
13108.0,372,10,350.05999999999995,4,4,3,443,11,Bronze
13109.0,59,47,786.54,3,2,2,322,7,Gold
13110.0,31,145,1488.67,2,1,2,212,5,Platinum
13113.0,0,201,12245.96,1,1,1,111,3,Platinum
13115.0,11,120,2294.7799999999997,1,1,1,111,3,Platinum
13116.0,138,30,501.14,3,3,3,333,9,Silver
13117.0,21,76,984.9100000000001,2,2,2,222,6,Gold
13118.0,19,79,1197.81,2,2,2,222,6,Gold
13120.0,238,1,30.599999999999998,4,4,4,444,12,Bronze
13121.0,269,50,283.72999999999996,4,2,4,424,10,Silver
13122.0,94,55,922.39,3,2,2,322,7,Gold
13124.0,89,235,3866.33,3,1,1,311,5,Platinum
13126.0,4,140,2099.64,1,1,1,111,3,Platinum
13127.0,77,15,259.16999999999996,3,4,4,344,11,Bronze
13130.0,94,2,64.0,3,4,4,344,11,Bronze
13131.0,23,44,1073.2999999999997,2,2,2,222,6,Gold
13132.0,261,3,77.3,4,4,4,444,12,Bronze
13133.0,273,7,109.80000000000001,4,4,4,444,12,Bronze
13134.0,85,98,1793.5800000000002,3,2,1,321,6,Gold
13135.0,196,1,3096.0,4,4,1,441,9,Silver
13136.0,56,127,2607.6099999999997,3,1,1,311,5,Platinum
13137.0,10,704,3650.41,1,1,1,111,3,Platinum
13138.0,22,63,962.39,2,2,2,222,6,Gold
13139.0,16,170,5064.9400000000005,1,1,1,111,3,Platinum
13140.0,108,46,423.72,3,2,3,323,8,Gold
13141.0,84,135,2388.75,3,1,1,311,5,Platinum
13142.0,19,23,307.0899999999999,2,3,3,233,8,Gold
13144.0,332,3,110.94999999999999,4,4,4,444,12,Bronze
13145.0,39,6,618.52,2,4,3,243,9,Silver
13146.0,26,17,228.91,2,4,4,244,10,Silver
13147.0,10,4,712.8000000000001,1,4,2,142,7,Gold
13148.0,29,319,3707.12,2,1,1,211,4,Platinum
13149.0,14,86,1676.0600000000002,1,2,1,121,4,Platinum
13151.0,295,74,1257.8700000000003,4,2,2,422,8,Gold
13153.0,5,15,486.22,1,4,3,143,8,Gold
13155.0,33,85,971.7600000000002,2,2,2,222,6,Gold
13157.0,49,87,1741.2199999999998,2,2,1,221,5,Platinum
13158.0,94,79,1201.06,3,2,2,322,7,Gold
13159.0,8,121,1437.85,1,1,2,112,4,Platinum
13160.0,22,4,91.8,2,4,4,244,10,Silver
13161.0,313,8,112.75,4,4,4,444,12,Bronze
13162.0,122,79,1688.2899999999997,3,2,1,321,6,Gold
13165.0,46,42,1021.48,2,2,2,222,6,Gold
13166.0,283,41,417.20000000000005,4,3,3,433,10,Silver
13167.0,18,65,791.3299999999999,2,2,2,222,6,Gold
13168.0,36,131,1319.19,2,1,2,212,5,Platinum
13169.0,63,13,712.88,3,4,2,342,9,Silver
13170.0,26,32,116.00999999999999,2,3,4,234,9,Silver
13171.0,21,46,468.40999999999997,2,2,3,223,7,Gold
13173.0,4,43,353.65000000000003,1,2,3,123,6,Gold
13174.0,16,314,2817.0299999999997,1,1,1,111,3,Platinum
13176.0,46,72,492.84000000000003,2,2,3,223,7,Gold
13177.0,64,17,282.45,3,4,4,344,11,Bronze
13178.0,26,265,5725.469999999999,2,1,1,211,4,Platinum
13182.0,45,11,121.18,2,4,4,244,10,Silver
13183.0,7,94,3957.7800000000007,1,2,1,121,4,Platinum
13184.0,14,181,1701.29,1,1,1,111,3,Platinum
13185.0,267,1,71.4,4,4,4,444,12,Bronze
13186.0,39,79,1575.89,2,2,2,222,6,Gold
13187.0,337,37,236.01999999999998,4,3,4,434,11,Bronze
13188.0,11,2,114.60000000000001,1,4,4,144,9,Silver
13189.0,18,29,260.67999999999995,2,3,4,234,9,Silver
13192.0,95,63,911.9400000000002,3,2,2,322,7,Gold
13193.0,61,29,117.88000000000001,3,3,4,334,10,Silver
13194.0,135,3,60.7,3,4,4,344,11,Bronze
13196.0,11,110,1797.78,1,1,1,111,3,Platinum
13198.0,10,226,3401.24,1,1,1,111,3,Platinum
13199.0,3,119,9817.119999999999,1,1,1,111,3,Platinum
13200.0,19,46,870.0900000000001,2,2,2,222,6,Gold
13203.0,9,57,869.4599999999999,1,2,2,122,5,Platinum
13207.0,15,8,250.26000000000002,1,4,4,144,9,Silver
13208.0,58,149,1223.9,3,1,2,312,6,Gold
13209.0,30,321,5891.61,2,1,1,211,4,Platinum
13210.0,93,22,353.48,3,3,3,333,9,Silver
13211.0,10,56,1197.42,1,2,2,122,5,Platinum
13212.0,19,142,788.0799999999999,2,1,2,212,5,Platinum
13213.0,56,90,1520.58,3,2,2,322,7,Gold
13216.0,267,5,333.74,4,4,3,443,11,Bronze
13217.0,122,4,533.98,3,4,3,343,10,Silver
13218.0,127,5,62.64,3,4,4,344,11,Bronze
13220.0,78,21,819.29,3,3,2,332,8,Gold
13221.0,240,66,847.4100000000001,4,2,2,422,8,Gold
13223.0,200,5,163.20000000000002,4,4,4,444,12,Bronze
13224.0,60,108,2155.9499999999994,3,1,1,311,5,Platinum
13225.0,3,32,6463.84,1,3,1,131,5,Platinum
13226.0,273,16,108.21,4,4,4,444,12,Bronze
13227.0,201,9,257.7,4,4,4,444,12,Bronze
13228.0,81,2,358.0,3,4,3,343,10,Silver
13229.0,225,10,160.95,4,4,4,444,12,Bronze
13230.0,4,611,2806.9700000000003,1,1,1,111,3,Platinum
13232.0,12,207,1357.6000000000001,1,1,2,112,4,Platinum
13233.0,74,43,605.1199999999999,3,2,3,323,8,Gold
13235.0,212,58,1031.0700000000002,4,2,2,422,8,Gold
13236.0,24,36,744.85,2,3,2,232,7,Gold
13238.0,17,31,700.7299999999999,1,3,2,132,6,Gold
13239.0,261,22,329.56,4,3,3,433,10,Silver
13240.0,96,67,663.6500000000001,3,2,2,322,7,Gold
13242.0,112,13,270.40000000000003,3,4,4,344,11,Bronze
13243.0,203,58,600.0700000000002,4,2,3,423,9,Silver
13244.0,92,27,121.74,3,3,4,334,10,Silver
13245.0,50,16,430.5,2,4,3,243,9,Silver
13246.0,18,141,1987.3,2,1,1,211,4,Platinum
13247.0,17,25,501.11999999999995,1,3,3,133,7,Gold
13248.0,124,26,465.67999999999995,3,3,3,333,9,Silver
13249.0,92,23,711.41,3,3,2,332,8,Gold
13253.0,156,36,1030.3999999999999,4,3,2,432,9,Silver
13255.0,9,13,399.51,1,4,3,143,8,Gold
13256.0,14,1,0.0,1,4,4,144,9,Silver
13258.0,11,38,698.5799999999999,1,3,2,132,6,Gold
13259.0,61,87,292.31999999999994,3,2,4,324,9,Silver
13260.0,61,8,557.62,3,4,3,343,10,Silver
13261.0,268,9,944.1,4,4,2,442,10,Silver
13262.0,263,11,200.29,4,4,4,444,12,Bronze
13263.0,1,1677,7454.07,1,1,1,111,3,Platinum
13265.0,53,91,2107.6600000000003,3,2,1,321,6,Gold
13266.0,11,187,3834.26,1,1,1,111,3,Platinum
13267.0,2,211,4521.49,1,1,1,111,3,Platinum
13268.0,17,440,3214.69,1,1,1,111,3,Platinum
13269.0,1,316,5346.23,1,1,1,111,3,Platinum
13270.0,366,1,590.0,4,4,3,443,11,Bronze
13271.0,37,96,217.38,2,2,4,224,8,Gold
13272.0,31,15,276.56000000000006,2,4,4,244,10,Silver
13273.0,113,16,138.98,3,4,4,344,11,Bronze
13276.0,63,30,590.93,3,3,3,333,9,Silver
13277.0,15,8,258.4,1,4,4,144,9,Silver
13278.0,40,46,542.73,2,2,3,223,7,Gold
13279.0,78,9,137.75,3,4,4,344,11,Bronze
13280.0,122,85,814.86,3,2,2,322,7,Gold
13282.0,18,37,1132.14,2,3,2,232,7,Gold
13283.0,59,7,93.66,3,4,4,344,11,Bronze
13284.0,330,13,201.19,4,4,4,444,12,Bronze
13285.0,23,187,2709.1200000000003,2,1,1,211,4,Platinum
13291.0,155,42,361.11,4,2,3,423,9,Silver
13292.0,38,31,578.9399999999999,2,3,3,233,8,Gold
13294.0,189,54,873.74,4,2,2,422,8,Gold
13295.0,359,10,201.2,4,4,4,444,12,Bronze
13296.0,137,5,87.4,3,4,4,344,11,Bronze
13297.0,7,59,2089.85,1,2,1,121,4,Platinum
13298.0,1,2,360.0,1,4,3,143,8,Gold
13299.0,268,5,142.5,4,4,4,444,12,Bronze
13300.0,169,20,371.89,4,3,3,433,10,Silver
13301.0,103,81,618.09,3,2,3,323,8,Gold
13302.0,155,1,63.75,4,4,4,444,12,Bronze
13304.0,351,21,300.41999999999996,4,3,3,433,10,Silver
13305.0,4,81,2000.8599999999997,1,2,1,121,4,Platinum
13307.0,120,1,15.0,3,4,4,344,11,Bronze
13308.0,22,54,1385.51,2,2,2,222,6,Gold
13309.0,7,107,1456.79,1,1,2,112,4,Platinum
13310.0,28,72,1132.0300000000002,2,2,2,222,6,Gold
13311.0,4,26,598.57,1,3,3,133,7,Gold
13313.0,22,78,1555.32,2,2,2,222,6,Gold
13314.0,1,62,775.94,1,2,2,122,5,Platinum
13316.0,37,87,5977.7300000000005,2,2,1,221,5,Platinum
13317.0,66,124,2273.6800000000003,3,1,1,311,5,Platinum
13318.0,1,20,640.7600000000001,1,3,3,133,7,Gold
13319.0,5,476,10845.55,1,1,1,111,3,Platinum
13320.0,78,106,1548.6999999999998,3,1,2,312,6,Gold
13321.0,72,11,567.36,3,4,3,343,10,Silver
13322.0,17,25,199.48,1,3,4,134,8,Gold
13323.0,3,21,787.8499999999999,1,3,2,132,6,Gold
13324.0,36,75,7121.95,2,2,1,221,5,Platinum
13325.0,81,12,675.3,3,4,2,342,9,Silver
13327.0,38,108,3627.77,2,1,1,211,4,Platinum
13328.0,316,17,1308.48,4,4,2,442,10,Silver
13329.0,31,17,789.0,2,4,2,242,8,Gold
13330.0,92,53,1140.93,3,2,2,322,7,Gold
13332.0,14,21,350.9,1,3,3,133,7,Gold
13334.0,82,268,3536.8200000000006,3,1,1,311,5,Platinum
13336.0,77,51,795.1200000000001,3,2,2,322,7,Gold
13338.0,157,19,487.02000000000004,4,3,3,433,10,Silver
13339.0,200,54,860.12,4,2,2,422,8,Gold
13340.0,45,134,10736.48,2,1,1,211,4,Platinum
13341.0,260,42,775.8499999999999,4,2,2,422,8,Gold
13343.0,177,19,353.43,4,3,3,433,10,Silver
13344.0,67,119,2543.7200000000007,3,1,1,311,5,Platinum
13345.0,287,20,389.5,4,3,3,433,10,Silver
13347.0,70,8,341.36,3,4,3,343,10,Silver
13348.0,64,14,233.76,3,4,4,344,11,Bronze
13349.0,10,16,247.32,1,4,4,144,9,Silver
13350.0,16,40,979.12,1,3,2,132,6,Gold
13351.0,66,16,373.94,3,4,3,343,10,Silver
13352.0,60,24,397.97999999999996,3,3,3,333,9,Silver
13354.0,71,51,743.5300000000001,3,2,2,322,7,Gold
13355.0,122,32,674.7,3,3,2,332,8,Gold
13356.0,80,42,768.2400000000001,3,2,2,322,7,Gold
13357.0,257,90,609.95,4,2,3,423,9,Silver
13358.0,268,29,439.03000000000003,4,3,3,433,10,Silver
13359.0,63,23,439.55999999999995,3,3,3,333,9,Silver
13362.0,9,166,3090.7400000000002,1,1,1,111,3,Platinum
13363.0,17,60,992.5,1,2,2,122,5,Platinum
13364.0,71,10,134.96,3,4,4,344,11,Bronze
13365.0,33,128,2225.37,2,1,1,211,4,Platinum
13366.0,50,1,56.160000000000004,2,4,4,244,10,Silver
13368.0,256,29,623.4,4,3,3,433,10,Silver
13369.0,365,14,308.28,4,4,3,443,11,Bronze
13370.0,371,39,754.8700000000001,4,3,2,432,9,Silver
13372.0,89,23,378.63999999999993,3,3,3,333,9,Silver
13373.0,60,158,3312.2500000000005,3,1,1,311,5,Platinum
13375.0,88,37,778.65,3,3,2,332,8,Gold
13376.0,99,53,1019.76,3,2,2,322,7,Gold
13379.0,26,97,572.56,2,2,3,223,7,Gold
13381.0,31,172,3639.31,2,1,1,211,4,Platinum
13382.0,280,15,222.99,4,4,4,444,12,Bronze
13384.0,30,152,4151.93,2,1,1,211,4,Platinum
13385.0,329,35,534.5699999999999,4,3,3,433,10,Silver
13388.0,131,35,677.1,3,3,2,332,8,Gold
13389.0,11,51,797.9599999999999,1,2,2,122,5,Platinum
13390.0,74,13,544.08,3,4,3,343,10,Silver
13391.0,203,1,59.8,4,4,4,444,12,Bronze
13394.0,1,155,2520.0200000000004,1,1,1,111,3,Platinum
13395.0,185,21,307.71999999999997,4,3,3,433,10,Silver
13396.0,29,43,1360.99,2,2,2,222,6,Gold
13397.0,72,38,1544.1299999999999,3,3,2,332,8,Gold
13398.0,192,26,457.34000000000003,4,3,3,433,10,Silver
13402.0,127,39,621.2300000000002,3,3,3,333,9,Silver
13403.0,17,3,75.0,1,4,4,144,9,Silver
13404.0,1,11,252.49,1,4,4,144,9,Silver
13405.0,74,27,572.4509999999999,3,3,3,333,9,Silver
13408.0,1,478,28117.04,1,1,1,111,3,Platinum
13410.0,24,28,1003.0600000000002,2,3,2,232,7,Gold
13411.0,107,18,213.55,3,3,4,334,10,Silver
13414.0,133,24,1390.5,3,3,2,332,8,Gold
13416.0,43,19,712.5,2,3,2,232,7,Gold
13417.0,4,28,640.83,1,3,3,133,7,Gold
13418.0,11,304,6127.43,1,1,1,111,3,Platinum
13419.0,63,16,221.06,3,4,4,344,11,Bronze
13420.0,149,8,159.85,4,4,4,444,12,Bronze
13421.0,40,104,1851.08,2,1,1,211,4,Platinum
13422.0,64,127,2626.3,3,1,1,311,5,Platinum
13425.0,108,78,1624.2100000000003,3,2,1,321,6,Gold
13426.0,0,157,3641.3199999999997,1,1,1,111,3,Platinum
13427.0,19,29,582.6,2,3,3,233,8,Gold
13428.0,10,74,218.46999999999997,1,2,4,124,7,Gold
13429.0,10,67,1006.7999999999998,1,2,2,122,5,Platinum
13430.0,18,49,679.4499999999999,2,2,2,222,6,Gold
13431.0,67,46,1269.1,3,2,2,322,7,Gold
13434.0,74,10,534.24,3,4,3,343,10,Silver
13435.0,5,101,3809.89,1,1,1,111,3,Platinum
13436.0,1,12,196.88999999999996,1,4,4,144,9,Silver
13437.0,14,167,3408.0600000000004,1,1,1,111,3,Platinum
13439.0,255,54,283.71,4,2,4,424,10,Silver
13441.0,91,13,296.64000000000004,3,4,4,344,11,Bronze
13447.0,23,59,1129.1400000000003,2,2,2,222,6,Gold
13448.0,16,195,3539.3700000000003,1,1,1,111,3,Platinum
13449.0,23,19,291.88000000000005,2,3,4,234,9,Silver
13450.0,26,71,2043.72,2,2,1,221,5,Platinum
13451.0,26,443,2976.15,2,1,1,211,4,Platinum
13452.0,259,2,590.0,4,4,3,443,11,Bronze
13453.0,165,17,356.97999999999996,4,4,3,443,11,Bronze
13455.0,24,46,1058.3400000000001,2,2,2,222,6,Gold
13456.0,17,63,1766.72,1,2,1,121,4,Platinum
13458.0,7,382,9646.57,1,1,1,111,3,Platinum
13460.0,29,17,183.44,2,4,4,244,10,Silver
13461.0,38,27,1445.0000000000002,2,3,2,232,7,Gold
13462.0,252,9,151.5,4,4,4,444,12,Bronze
13464.0,58,41,674.6800000000001,3,3,2,332,8,Gold
13466.0,184,17,307.90000000000003,4,4,3,443,11,Bronze
13467.0,10,99,1083.71,1,2,2,122,5,Platinum
13468.0,1,302,5704.969999999999,1,1,1,111,3,Platinum
13470.0,99,10,165.0,3,4,4,344,11,Bronze
13471.0,1,260,2531.58,1,1,1,111,3,Platinum
13473.0,60,21,422.64000000000004,3,3,3,333,9,Silver
13474.0,236,64,229.59,4,2,4,424,10,Silver
13475.0,191,86,1431.7800000000002,4,2,2,422,8,Gold
